Date,Open,High,Low,Close,Volume
2019-05-10,42.0,45.0,41.060001373291016,41.56999969482422,186322500
2019-05-13,38.790000915527344,39.2400016784668,36.08000183105469,37.099998474121094,79442400
2019-05-14,38.310001373291016,39.959999084472656,36.849998474121094,39.959999084472656,46661100
2019-05-15,39.369998931884766,41.880001068115234,38.95000076293945,41.290000915527344,36086100
2019-05-16,41.47999954223633,44.060001373291016,41.25,43.0,38115500
2019-05-17,41.97999954223633,43.290000915527344,41.27000045776367,41.90999984741211,20225700
2019-05-20,41.189998626708984,41.68000030517578,39.459999084472656,41.59000015258789,29222300
2019-05-21,42.0,42.2400016784668,41.25,41.5,10802900
2019-05-22,41.04999923706055,41.279998779296875,40.5,41.25,9089500
2019-05-23,40.79999923706055,41.09000015258789,40.02000045776367,40.470001220703125,11119900
2019-05-24,41.279998779296875,41.5099983215332,40.5,41.5099983215332,8786800
2019-05-28,41.70000076293945,41.79999923706055,40.599998474121094,40.95000076293945,13391600
2019-05-29,40.52000045776367,40.709999084472656,39.14699935913086,39.939998626708984,14060400
2019-05-30,40.06999969482422,40.380001068115234,39.5,39.79999923706055,26451900
2019-05-31,41.150001525878906,41.56999969482422,39.40999984741211,40.40999984741211,23209800
2019-06-03,40.74399948120117,41.849998474121094,40.2400016784668,41.25,16605300
2019-06-04,42.560001373291016,42.880001068115234,40.70000076293945,42.75,23432100
2019-06-05,42.869998931884766,45.65999984741211,42.5,45.0,28609600
2019-06-06,45.0,45.75,44.279998779296875,44.91999816894531,16403700
2019-06-07,44.91999816894531,45.66999816894531,44.130001068115234,44.15999984741211,12654700
2019-06-10,44.02000045776367,44.59000015258789,42.529998779296875,42.61000061035156,11618700
2019-06-11,43.220001220703125,43.650001525878906,41.79999923706055,42.45000076293945,9095000
2019-06-12,42.52000045776367,42.650001525878906,41.709999084472656,42.16999816894531,5965300
2019-06-13,43.04999923706055,44.349998474121094,42.79999923706055,44.310001373291016,10178900
2019-06-14,44.75,44.79999923706055,43.11000061035156,43.22999954223633,7902200
2019-06-17,43.279998779296875,44.07899856567383,42.93000030517578,43.779998779296875,6557600
2019-06-18,44.29999923706055,44.88999938964844,43.75,43.86000061035156,7313600
2019-06-19,44.459999084472656,45.5,43.95000076293945,44.86000061035156,10331500
